'-skip-logged'	'Download -skip-logged failed: '
'-sre.py'	'OK!'
'4Suite'	'"setup.py dump" failed'
'4Suite-XML'	'"setup.py dump" failed'
'ABC'	'Download ABC failed'
'AJDecimalMathAdditions'	'Download AJDecimalMathAdditions failed'
'AL - Application Launcher'	'Invalid name: None'
'AOPython'	'OK!'
'ASCII-Plotter'	'Download ASCII-Plotter failed'
'Aap'	'Download Aap failed'
'AccordionWidget'	'Get package args failed'
'Achoo'	'OK!'
'Acquisition'	'OK!'
'Adaptation'	'OK!'
'AddOns'	'OK!'
'AdvaS Advanced Search'	'Invalid name: None'
'Adytum-NetCIDR'	'OK!'
'Adytum-PyMonitor'	'OK!'
'AeroCalc'	'OK!'
'Aglyph'	'Unpack Aglyph failed'
'Alchemyware'	'OK!'
'Allegra'	'OK!'
'Amara'	'OK!'
'Amara XML Toolkit'	'Invalid name: None'
'Anagrammer'	'OK!'
'Anobind'	'Download Anobind failed'
'AppState'	'OK!'
'AppTools'	'OK!'
'Appcelerator'	'Download Appcelerator failed'
'Apydia'	'OK!'
'ArcRstats'	'OK!'
'Are You Human?'	'Invalid name: None'
'Arm4'	'Download Arm4 failed'
'Arnic'	'Download Arnic failed'
'Aspyct'	'Download Aspyct failed'
'AsynCluster'	'OK!'
'AsynQueue'	'Download AsynQueue failed'
'Audio Enriched Links'	'Invalid name: None'
'AuthKit'	'OK!'
'AuthProxy'	'Download AuthProxy failed'
'AutoSwish'	'Download AutoSwish failed'
'Automating CATIA V5 or DMU Navigator with Python'	'Invalid name: None'
'Axiom'	'Get package args failed'
'BAOW'	'Download BAOW failed: None'
'BGTool'	'Download BGTool failed: None'
'BMI (Body Mass Index Calculator)'	'Invalid name: None'
'BOTEC'	"Download BOTEC failed: Can't download http://www.alcyone.com/botec/botec-latest.tar.gz: 404 Not Found"
'Babel'	'OK!'
'BabelDjango'	'OK!'
'BabelGladeExtractor'	'OK!'
'BackupBasis'	'Download BackupBasis failed: None'
'BackupUI'	'Download BackupUI failed: None'
'BalazarBrothers'	'Download BalazarBrothers failed: None'
'Band Saw'	'Invalid name: None'
'BasecampWrapper'	'Download BasecampWrapper failed: None'
'Beaker'	'OK!'
'BeautifulSoup'	'OK!'
'Behaviour'	'OK!'
'BerkeleyDB Backend Storage Engine for DURUS'	'Invalid name: None'
'BibConverter'	'OK!'
'BitBucket'	'OK!'
'BitBuffer'	'OK!'
'BitDecoder'	"pkgsys.setup_args failed: 'list' object has no attribute 'lower'"
'BitPacket'	'OK!'
'BitTornado'	'Download BitTornado failed: None'
'BitTorrent'	'Download BitTorrent failed: None'
'BitTorrent-bencode'	'OK!'
'BitVector'	'OK!'
'BlitzMail'	'Download BlitzMail failed: None'
'BlockCanvas'	'OK!'
'BlogBackup'	'OK!'
'Blogmaker'	'OK!'
'Bluemindo'	'Download Bluemindo failed: None'
'BoTux'	'Download BoTux failed: None'
'Bourbon'	'Download Bourbon failed: None'
'BrainFreeze'	'OK!'
'Breve'	'OK!'
'BreveTool'	'Download BreveTool failed: None'
'BrightContent'	'OK!'
'Buffet'	'OK!'
'BuffetMyghty'	'OK!'
'BuffetString'	'OK!'
'BuffetXSLT'	'OK!'
'BulkSMS'	'Download BulkSMS failed: Unexpected HTML page found at http://botanicus.net/dw/dl/bulksms-0.2a2.tar.gz'
'Bundle-Buggy'	'Download Bundle-Buggy failed: None'
'BusinessHours'	'OK!'
'Byline'	"Download Byline failed: Can't download http://pyrite.org/dist/byline-0.4beta.zip: 404 Not Found"
'BytecodeAssembler'	'OK!'
'CAGE'	'Unpack CAGE failed: Unsupported archive type'
'CBlog'	"Download CBlog failed: Can't download http://chrisarndt.de/projects/cblog/download/CBlog-0.2a.tar.bz2: 404 Not Found"
'CDCover'	'Get package args failed: ImportError: No module named py2exe'
'CPF'	'Download CPF failed: '
'CPFValidator'	'Download CPFValidator failed: '
'CPS'	'Unpack CPS failed: Unsupported archive type'
'CR'	'Download CR failed: None'
'CSBuddy'	'Unpack CSBuddy failed: Unsupported archive type'
'CUI'	'Download CUI failed: None'
'CVSToys'	'Download CVSToys failed: None'
'CVtypes'	'Unpack CVtypes failed: Unsupported archive type'
'Cabochon'	"Unpack Cabochon failed: [Errno 2] No such file or directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'CabochonClient'	"Unpack CabochonClient failed: [Errno 2] No such file or directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'CabochonServer'	"Unpack CabochonServer failed: [Errno 2] No such file or directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'Candygram'	'OK!'
'Cellulose'	'OK!'
'Cerealizer'	'Download Cerealizer failed: None'
'Chaco'	'Get package args failed: ImportError: No module named numpy'
'Chandler-AmazonPlugin'	'OK!'
'Chandler-DependencyPlugin'	'OK!'
'Chandler-EVDBPlugin'	'OK!'
'Chandler-FeedsPlugin'	'OK!'
'Chandler-FlickrPlugin'	'OK!'
'Chandler-HelloWorldPlugin'	'OK!'
'Chandler-PhotoPlugin'	'OK!'
'Chandler-ReportPlugin'	'OK!'
'Chandler-XmppPlugin'	'OK!'
'Chandler-debugPlugin'	'OK!'
'Chandler-gdataPlugin'	'OK!'
'ChangeGDSSetup'	"process failed: Invalid package name: 'dev-python/changegdssetup'"
'ChartDirector for Python'	'Invalid name: None'
'ChatRelater'	'OK!'
'Checkpoint'	'OK!'
'Cheesecake'	'OK!'
'Cheetah'	'OK!'
